Registrikood;Nimi;Tööjõumaksud Ja Maksed;Tootajaid;YearQ
10163950;SAINT-GOBAIN GLASS ESTONIA SE;1355372;551;18iii
10539549;LHV PANK AS;1354317;336;18iv
10247977;JELD-WEN EESTI AS;1351343;774;18ii
90008287;INNOVE SIHTASUTUS;1350289;717;18iv
10047362;TREV-2 GRUPP AS;1337133;386;18iv
11298304;APL AGENCIES ESTONIA OÜ;1331863;608;18iv
77000306;SAAREMAA VALLAVALITSUS;1330588;567;18i
12214574;FORTACO ESTONIA OÜ;1329835;540;18iii
10069046;TELE2 EESTI AS;1324611;335;18ii
11575850;AS OPERAIL;1319371;687;18ii
11575850;AS OPERAIL;1314250;702;18iv
10247977;JELD-WEN EESTI AS;1312715;737;18iv
11045112;ENICS EESTI AS;1312585;719;18iii
10099962;NORDECON AS;1309877;205;18iv
74000174;EESTI PANK;1304171;341;18iv
10052966;VILJANDI AKEN JA UKS AS;1304134;650;18ii
10539549;LHV PANK AS;1303034;326;18iii
75014920;TALLINNA LINNAKANTSELEI;1290849;349;18iii
75021250;VIIMSI VALLAVALITSUS;1283862;169;18i
77000430;SAUE VALLAVALITSUS;1283014;138;18ii
10093971;COOP EESTI KESKÜHISTU;1282646;646;18ii
10391131;NORTAL AS;1280771;334;18ii
10054238;OG ELEKTRA AS;1276757;1347;18i
10180925;CIRCLE K EESTI AKTSIASELTS;1273654;756;18iv
10017013;ERGO INSURANCE SE;1273040;271;18ii
10054238;OG ELEKTRA AS;1270919;1397;18iii
10120596;WENDRE AS;1260784;759;18iv
10399457;HOOLEKANDETEENUSED AS;1260683;870;18ii
90003217;NARVA HAIGLA SIHTASUTUS;1254890;705;18iii
11045112;ENICS EESTI AS;1254063;744;18iv
10099962;NORDECON AS;1250716;268;18iii
10282927;HARMET OÜ;1248017;519;18iv
10136870;OLEREX AS;1247143;665;18iii
11298304;APL AGENCIES ESTONIA OÜ;1245320;595;18iii
10052966;VILJANDI AKEN JA UKS AS;1244029;632;18i
10114029;YIT INFRA EESTI AS;1243297;340;18iii
10183757;BIGBANK AS;1242971;238;18ii
10093971;COOP EESTI KESKÜHISTU;1238683;690;18iv
10120596;WENDRE AS;1234202;756;18iii
10865988;MAGNETIC MRO AS;1233737;384;18iii
10539549;LHV PANK AS;1228824;322;18ii
10282927;HARMET OÜ;1225463;500;18ii
10419987;SOL BALTICS OÜ;1223659;1697;18iii
10120596;WENDRE AS;1222305;765;18ii
10391131;NORTAL AS;1216836;286;18i
10715645;VOPAK E.O.S. AS;1212456;229;18i
10865988;MAGNETIC MRO AS;1209957;383;18iv
10865988;MAGNETIC MRO AS;1209808;381;18ii
10865988;MAGNETIC MRO AS;1206022;371;18i
11022625;ELERING AS;1198687;233;18ii
10180925;CIRCLE K EESTI AKTSIASELTS;1198492;861;18ii
10349560;TALLINNA LENNUJAAM AS;1194293;387;18ii
